ISIN,Issuer,Instrument,Ccy,Geography,Index,Fund,Sector,Diff,Rating,AssetClass,Invested,Delta,Cvxty
FR0000121147,FAURECIA,FAURECIA,EUR,France,0,0.00924,Industrie,0.00924,NR,Action,1,1,0
FI0009000681,NOKIA OYJ,NOKIA OYJ,EUR,Finlande,0,0.01096,Télécom,0.01096,NR,Action,1,1,0
XS1210362239,AABAR INVESTMENTS PJSC,AABAR 1 03/27/22,EUR,U.A.E.,0,0.02335,Finance,0.02335,A,Convertible,1,0.10675713,0.0026151
XS0579438663,AB INDUSTRIVARDEN,INDDEN 1 7/8 02/27/17,EUR,Suede,0,0.00215,Finance,0.00215,A,Convertible,1,0.112237317,0.0152194
XS1020736069,ACCIONA S.A.,ANASM 3 01/30/19,EUR,Espagne,0.019,0,Construction,-0.019,NR,Convertible,1,0.649695229,0.0127837
XS0951366136,ACS ACTIVIDADES FINANCE,ACSSM 2 5/8 10/22/18,EUR,Espagne,0.015,0,Serv. Publics,-0.015,NR,Convertible,1,0.633768251,0.0431711
DE000A1ML0D9,ADIDAS AG,ADSGR 0 1/4 06/14/19,EUR,Allemagne,0.029,0,Consommation,-0.029,NR,Convertible,1,0.624433475,0.0167987
FR0011453463,AIR FRANCE-KLM,AFFP 2.03 02/15/23,EUR,France,0,0.0221,Loisirs,0.0221,B,Convertible,1,0.26451143,0.0040242
XS1254584599,AIRBUS GROUP SE,AIRFP 0 07/01/22,EUR,France,0.023,0,Industrie,-0.023,A,Convertible,1,0.191528495,0.0060371
XS1238034695,AMERICA MOVIL SAB DE CV,AMXLMM 0 05/28/20,EUR,Mexique,0,0.01039,Télécom,0.01039,A,Convertible,1,0.201938477,0.0087967
XS0937410214,AMORIM ENERGIA BV,AMOENE 3 3/8 06/03/18,EUR,Portugal,0.018,0.01689,Energie,-0.00111,BBB-,Convertible,1,0.059450914,0.0052962
FR0012032712,ASSYSTEM,ASYTFP 4 1/2 07/31/49,EUR,France,0,0.00718,Industrie,0.00718,BB-,Convertible,1,0.273531731,0.010265
FR0013071206,AUSY,OSIFP 3 1/4 01/01/21,EUR,France,0,0.00175,Technologie,0.00175,BB-,Convertible,1,0.414386915,0.0109712
FR0000180994,AXA SA,AXASA 3 3/4 01/01/17,EUR,France,0.08,0,Finance,-0.08,BBB,Convertible,1,2.47836E-08,0
XS0994784030,AZIMUT HOLDING SPA,AZMIM 2 1/8 11/25/20,EUR,Italie,0.012,0,Finance,-0.012,NR,Convertible,1,0.235199247,0.00715
BE6267379152,BEKAERT NV,BEKBBB 0 3/4 06/18/18,EUR,Belgique,0,0.02499,Industrie,0.02499,BBB-,Convertible,1,0.377642632,0.0106039
XS0981380644,BENI STABILI SPA,BNSIM 2 5/8 04/17/19,EUR,Italie,0,0.00916,Immobilier,0.00916,BB,Convertible,1,0.296623807,0.0119371
XS0906876114,BNP PARIBAS,BNP 0 1/4 09/27/16,EUR,France,0,0.02768,Serv. Publics,0.02768,A+,Convertible,1,0.111146646,0.0300123
XS1190658010,BNP PARIBAS ARBITRAGE,BNP 0 05/05/17,EUR,Pays-Bas,0,0.02574,Serv. Publics,0.02574,A+,Convertible,1,0.664028913,0.0455456
XS0953046991,BUZZI UNICEM SPA,BZUIM 1 3/8 07/17/19,EUR,Italie,0,0.01982,Construction,0.01982,BB+,Convertible,1,0.406336265,0.0107664
FR0011600352,CAP GEMINI SA,CAPFP 0 01/01/19,EUR,France,0.023,0,Technologie,-0.023,BBB,Convertible,1,0.612872126,0.0160755
FR0012739548,CGG SA,CGGFP 1 3/4 01/01/20,EUR,France,0,0.00508,Energie,0.00508,B-,Convertible,1,5.81573E-06,0.0000003
FR0010449264,CIE GEN ETAB MICHELIN,MLFP 0 01/01/17,EUR,France,0.036,0,Industrie,-0.036,BBB+,Convertible,1,0.009815545,0.00254
BE0002176429,COFINIMMO,COFBBB 3 1/8 04/28/16,EUR,Belgique,0,0.00567,Immobilier,0.00567,BBB,Convertible,1,0,0
BE6254178062,COFINIMMO,COFBBB 2 06/20/18,EUR,Belgique,0,0.02675,Immobilier,0.02675,BBB,Convertible,1,0.393481476,0.0304882
FR0011641034,CREDIT AGRICOLE SA,ACAFP 0 12/06/16,EUR,France,0.016,0,Industrie,-0.016,A,Convertible,1,0.300417579,0.0235914
XS0995390621,CRITERIA CAIXA SA,CAIXAB 1 11/25/17,EUR,Espagne,0.033,0.02555,Finance,-0.00745,BBB-,Convertible,1,0.038117055,0.0039617
DE000A1R0VM5,DEUTSCHE POST AG,DPWGR 0.6 12/06/19,EUR,Allemagne,0.054,0.00453,Industrie,-0.04947,A-,Convertible,1,0.465804194,0.0238498
DE000A12UDH7,DEUTSCHE WOHNEN AG,DWNIGY 0 7/8 09/08/21,EUR,Allemagne,0.023,0,Immobilier,-0.023,A-,Convertible,1,0.569545409,0.0112797
DE000A1YCR02,DEUTSCHE WOHNEN AG,DWNIGY 0 1/2 11/22/20,EUR,Allemagne,0.016,0,Immobilier,-0.016,A-,Convertible,1,0.732504056,0.0121601
BE6261856213,ECONOCOM GROUP,ECONBB 1 1/2 01/15/19,EUR,Belgique,0,0.00188,Technologie,0.00188,B+,Convertible,1,0.068743546,0.0077887
XS0717615099,ESPIRITO SANTO FIN GRP,ESF 9 3/4 12/19/25,EUR,Portugal,0,0.00068,Finance,0.00068,CC,Convertible,1,0,0
FR0011973577,ETABLIS MAUREL ET PROM,MAUFP 1 5/8 07/01/19,EUR,France,0,0.00192,Energie,0.00192,BB-,Convertible,1,0.002838027,0.0002604
FR0012738144,ETABLIS MAUREL ET PROM,MAUFP 2 3/4 07/01/21,EUR,France,0,0.00654,Energie,0.00654,BB-,Convertible,1,0.059497109,0.0030021
XS0457172913,FCC,FCCSM 6 1/2 10/30/20,EUR,Espagne,0,0.00542,Construction,0.00542,B,Convertible,1,0.022005343,0.0010829
XS1326573869,FCT HOLDING SPA,FCTHOS 0 5/8 11/30/20,EUR,Italie,0,0.0091,Serv. Publics,0.0091,BBB,Convertible,1,0.259920071,0.0122168
XS1082775054,FF GROUP FINANCE LX,FFGRPG 1 3/4 07/03/19,EUR,Luxembourg,0,0.01067,Consommation,0.01067,BBB-,Convertible,1,0.052333158,0.0024619
FR0011050111,FONCIERE DES REGIONS,FDRFP 3.34 01/01/17,EUR,France,0.022,0.0168,Immobilier,-0.0052,BBB,Convertible,1,0.407274654,0.0167569
FR0011629344,FONCIERE DES REGIONS,FDRFP 0 7/8 04/01/19,EUR,France,0.017,0,Immobilier,-0.017,BBB,Convertible,1,0.362361592,0.0184538
DE000A13R491,FRESENIUS MEDICAL CARE A,FMEGR 1 1/8 01/31/20,EUR,Allemagne,0.022,0,Santé,-0.022,BB,Convertible,1,0.544838902,0.0121642
DE000A1YC3T6,FRESENIUS SE & CO KGAA,FREGR 0 09/24/19,EUR,Allemagne,0.03,0,Santé,-0.03,BB+,Convertible,1,0.67455123,0.0153288
DE000A1HTR04,GABRIEL FINANCE LTD PART,GABFIN 2 11/26/16,EUR,Jersey,0,0.00737,Chimie,0.00737,BBB-,Convertible,1,0.102873218,0.0143211
XS0882243453,GBL VERWALTUNG SA,GBLBBB 1 1/4 02/07/17,EUR,Luxembourg,0.045,0.03143,Serv. Publics,-0.01357,A+,Convertible,1,0.071495226,0.0124763
XS1373990834,GRAND CITY PROPERTIES SA,GYCGR 0 1/4 03/02/22,EUR,Luxembourg,0,0.0019,Immobilier,0.0019,BBB,Convertible,1,0.278210384,0.009357
DE000A161GV3,HANIEL FINANCE DE,HANFIN 0 05/12/20,EUR,Allemagne,0.022,0.01964,Consommation,-0.00236,BB+,Convertible,1,0.128524907,0.0062008
DE000A14KEZ4,HEIDELBERGER DRUCKMASCHI,HDDGR 5 1/4 03/30/22,EUR,Allemagne,0,0.00247,Construction,0.00247,B-,Convertible,1,0.285236145,0.006068
XS1321004118,IBERDROLA INTL BV,IBESM 0 11/11/22,EUR,Pays-Bas,0.022,0.00441,Serv. Publics,-0.01759,BBB+,Convertible,1,0.127545217,0.0080494
XS0592528870,IMMOFINANZ AG,IIAAV 4 1/4 03/08/18,EUR,Autriche,0.024,0.03616,Immobilier,0.01216,B+,Convertible,1,0.348379074,0.0065898
XS0981383747,INDRA SISTEMAS SA,IDRSM 1 3/4 10/17/18,EUR,Espagne,0,0.0176,Technologie,0.0176,BB,Convertible,1,0.152937498,0.0077624
FR0012817542,INGENICO GROUP,INGFP 0 06/26/22,EUR,France,0.022,0,Technologie,-0.022,NR,Convertible,1,0.166031066,0.0055035
XS1322536332,INTL CONSOLIDATED AIRLIN,IAGLN 0 1/4 11/17/20,EUR,Espagne,0,0.00364,Loisirs,0.00364,BB+,Convertible,1,0.160452217,0.0047983
DE000LEG1CB5,LEG IMMOBILIEN AG,LEGGR 0 1/2 07/01/21,EUR,Allemagne,0.019,0.00976,Immobilier,-0.00924,BBB+,Convertible,1,0.695884714,0.0098841
XS0993164895,MNV ZRT,HUSTHO 3 3/8 04/02/19,EUR,Hongrie,0,0.00205,Santé,0.00205,BB+,Convertible,1,0.252269293,0.0112979
XS0180906439,MPS CAPITAL TRUST II,MONTE 0 12/30/49,EUR,Italie,0,0.00141,Finance,0.00141,C,Convertible,1,0,0.0000324
FR0012799229,NEOPOST SA,NEOFP 3 3/8 12/29/49,EUR,France,0,0.01239,Technologie,0.01239,BB,Convertible,1,0.098016148,0.0029483
FR0010452128,NETBOOSTER,NBRFR 3 03/23/16,EUR,France,0,0.00074,Média,0.00074,B-,Convertible,1,2.65366E-07,0.0000783
FR0011208115,NEXANS SA,NEXFP 2 1/2 01/01/19,EUR,France,0,0.0098,Industrie,0.0098,BB-,Convertible,1,0.081231222,0.0047756
XS0989390249,NH HOTEL GROUP SA,NHHSM 4 11/08/18,EUR,Espagne,0,0.00813,Loisirs,0.00813,B-,Convertible,1,0.354673558,0.0110392
XS0974154550,OCI NV,OCINV 3 7/8 09/25/18,EUR,Pays-Bas,0,0.02154,Chimie,0.02154,BB-,Convertible,1,0.1276118,0.0044984
FR0011544444,OLYMPIQUE LYONNAIS GROUP,OLLYGR 0 07/01/23,EUR,France,0,0.00133,Loisirs,0.00133,CCC+,Convertible,1,1,0.0143515
FR0012188340,ORPAR,ORPAR 0 07/15/19,EUR,France,0,0.01304,Alimentation,0.01304,BB+,Convertible,1,0.173038422,0.0114115
XS1194020852,OUTOKUMPU OYJ,OUTOK 3 1/4 02/26/20,EUR,Finlande,0,0.00662,Mat. Prem.,0.00662,B-,Convertible,1,0.199363083,0.004119
PTPETROM0005,PARPUBLICA,PARPUB 5 1/4 09/28/17,EUR,Portugal,0.042,0.01187,Energie,-0.03013,BB+,Convertible,1,0.079892992,0.0063573
FR0011732759,PIERRE & VACANCES,VACFP 3 1/2 10/01/19,EUR,France,0,0.00305,Loisirs,0.00305,B+,Convertible,1,0.316672658,0.0104298
XS0901332337,PRYSMIAN SPA,PRYIM 1 1/4 03/08/18,EUR,Italie,0.014,0.01047,Industrie,-0.00353,BBB-,Convertible,1,0.281436114,0.0115567
XS1139088402,PT JERSEY LTD,PTEC 0 1/2 11/19/19,EUR,Jersey,0,0.0139,Technologie,0.0139,BBB-,Convertible,1,0.669205303,0.0139084
DE000A14J3R2,RAG-STIFTUNG,RAGSTF 0 02/18/21,EUR,Allemagne,0.024,0.02229,Chimie,-0.00171,BBB+,Convertible,1,0.283851593,0.0092394
DE000A11QGV1,RAG-STIFTUNG,RAGSTF 0 12/31/18,EUR,Allemagne,0.028,0,Chimie,-0.028,NR,Convertible,1,0.211422585,0.0108241
FR0011567908,RALLYE SA,RALFP 1 10/02/20,EUR,France,0.012,0.00868,Alimentation,-0.00332,BB-,Convertible,1,0.009774576,0.0011879
DE000A161KH4,ROCKET INTERNET,RKETGR 3 07/22/22,EUR,Allemagne,0.019,0.01693,Technologie,-0.00207,B,Convertible,1,0.282080786,0.0040701
XS1063399700,SACYR SA,VLHM 4 05/08/19,EUR,Espagne,0,0.00657,Construction,0.00657,B,Convertible,1,0.019572789,0.0013002
XS1069899232,SAFILO GROUP SPA,SFLIM 1 1/4 05/22/19,EUR,Italie,0,0.00669,Consommation,0.00669,B+,Convertible,1,0.05085234,0.0030915
FR0013087186,SAFRAN SA,SAFFP 0 12/31/20,EUR,France,0,0.0025,Technologie,0.0025,BBB,Convertible,1,0.264132502,0.0085184
BE6258355120,SAGERPAR,GBLBBB 0 3/8 10/09/18,EUR,Belgique,0.02,0.01009,Finance,-0.00991,A+,Convertible,1,0.117561294,0.0142763
DE000A1Z2G97,SALZGITTER FINANCE BV,SZGGR 0 06/05/22,EUR,Pays-Bas,0,0.00663,Mat. Prem.,0.00663,BB+,Convertible,1,0.130362019,0.0052359
DE000A1AYDS2,SALZGITTER FINANCE BV,SZGGR 2 11/08/17,EUR,Allemagne,0,0.00512,Mat. Prem.,0.00512,BB+,Convertible,1,0.362099851,0.0107336
DE000A1ML4A7,SGL CARBON SE,SGLGR 2 3/4 01/25/18,EUR,Allemagne,0,0.02084,Industrie,0.02084,B,Convertible,1,0.00012123,0.0000215
DE000A168YY5,SGL CARBON SE,SGLGR 3 1/2 09/30/20,EUR,Allemagne,0,0.00776,Industrie,0.00776,B,Convertible,1,0.182418155,0.005793
FR0011566793,SILICON ON INSULATOR TEC,SOIFP 6 3/4 09/18/18,EUR,France,0,0.00898,Technologie,0.00898,B-,Convertible,1,0.014596194,0.0008372
FR0010961128,SOC IMMOB DE LOCATION,ICADFP 2 1/2 01/01/17,EUR,France,0,0.02821,Immobilier,0.02821,BBB,Convertible,1,0.111915264,0.022188
