date,FR0000121147,XS1210362239,XS1020736069
1445212800000,31.938,99.45,126.6
1445299200000,32.113,100.2,127.38
1445385600000,32.187,100.3,128.18
1445472000000,33.802,102.5,129.15
1445558400000,34.458,102.5,130.7
1445817600000,34.82,103,130.04
1445904000000,35.086,103,129.28
1445990400000,36.113,103.5,130.44
1446076800000,36.538,103,129.69
1446163200000,36.039,103,131.24
1446422400000,36.026,102.45,133.26
1446508800000,35.68,102.85,132.18
1446595200000,35.925,102.95,132.77
1446681600000,35.707,103.05,131.27
1446768000000,36,102.65,132.11
1447027200000,36.663,104,131.01
1447113600000,35.743,104,130.39
1447200000000,36.024,104.2,131.67
1447286400000,35.283,101.3,131.18
1447372800000,35.181,101.2,130.92
1447632000000,34.807,100.75,132.36
1447718400000,36.056,101,132.58
1447804800000,35.819,100.8,132.68
1447891200000,36.548,100.85,133.47
1447977600000,35.787,99.9,133.48
1448236800000,35.136,100.05,133.52
1448323200000,35.153,98.75,132.27
1448409600000,35.38,98.5,132.96
1448496000000,35.435,98.7,134.22
1448582400000,35.594,98.05,134.24
1448841600000,35.467,98,134.65
1448928000000,35.684,98,134.71
1449014400000,35.39,97.75,135.14
1449100800000,36.397,97.65,134.98
1449187200000,35.247,96.75,135.45
1449446400000,35.582,96.65,135.1
1449532800000,36.213,96,134.56
1449619200000,35.315,94.8,134.56
1449705600000,35.639,95,134.82
1449792000000,35.23,94.7,133
1450051200000,33.456,93.45,133.77
1450137600000,35.692,92.45,134.13
1450224000000,35.215,91.55,130.9
1450310400000,36.258,92.45,133
1450396800000,35.914,92.15,134.11
1450656000000,35.901,92.1,133.62
1450742400000,36.365,91.8,133.25
1450828800000,35.621,92.1,131.14
1451260800000,36.747,92.3,131.77
1451347200000,36.864,92.5,131.77
1451433600000,37.111,92.3,131.77
1451865600000,36.01,91.75,134.62
1451952000000,36.198,90.95,134.06
1452038400000,35.812,89.65,135.59
1452124800000,33.41,88.5,133.94
1452211200000,33.856,86,129.19
1452470400000,33.197,85.1,129.19
1452556800000,34.522,84.35,129.94
1452643200000,34.903,83.5,131.73
1452729600000,32.558,82.7,131.07
1452816000000,32.873,82.2,125.65
1453075200000,32.037,78.45,128.06
1453161600000,32.185,76.45,127.28
1453248000000,31.692,75.1,124.31
1453334400000,31.963,72.4,124.31
1453420800000,34.452,72.55,123.7
1453680000000,33.694,71,124.87
1453766400000,32.891,69,119.69
1453852800000,33.909,68.55,121.31
1453939200000,34.582,69.55,121.87
1454025600000,33.325,69.5,121.94
1454284800000,33.315,69.05,124.53
1454371200000,33.243,68.5,123.68
1454457600000,31.774,64,120.94
1454544000000,31.225,64.6,120.62
1454630400000,30.277,65.45,118.05
1454889600000,30.096,64.15,117.56
1454976000000,28.636,57.45,114.06
1455062400000,28.1,58.5,111.94
1455148800000,28.21,58.45,111.74
1455235200000,27.257,61,111.25
1455494400000,27.993,64.4,119.12
1455580800000,28.819,64.5,116.87
1455667200000,28.952,64.95,118.94
1455753600000,30.355,67.4,118.62
1455840000000,30.879,67.5,119.37
1456099200000,31.886,67.55,120.31
1456185600000,31.615,67.3,121.06
